p_code, p_name, p_price, p_rem
p0001,나들이김밥,2500,주재료-김밥
p0002,김치김밥,3000,주재료-김치 밥 야채 김  조리법-김밥  소스-참기름
p0003,참치김밥,3000,주재료-밥 야채 참치 김 깻잎  조리법-김밥  소스-마요네즈
p0004,청양고추김밥,3000,주재료-밥 야채 김 청양고추  조리법-김밥
p0005,참치고추김밥,3500,주재료-참치
p0006,치즈김밥,3500,주재료-치즈 밥 야채 김  조리법-김밥  소스-참기름
p0007,계란말이김밥,3500,주재료-계란 밥 계란말이  조리법-김밥
p0008,소고기김밥,3500,주재료-소고기 밥 야채 김  조리법-김밥  소스-참기름
p0009,멸추아몬드김밥,3500,주재료-멸치 아몬드  조리법-김밥
p0010,크래미김밥,3500,주재료-야채 게살 김 쌀  조리법-김밥
p0011,베이컨김밥,3500,주재료-베이컨 밥 김  조리법-김밥
p0012,돈까스김밥,3500,주재료-돼지고기 밥 야채 김 빵가루  조리법-튀김 김밥  소스-참기름
p0013,튀김새우김밥,4000,주재료-새우 밥 야채  조리법-김밥
p0014,캘리포니아롤,5000,
p0015,참치롤,6000,주재료-참치  조리법-롤
p0016,새우롤,6000,주재료-새우
p0017,연어롤,6000,주재료-연어  조리법-롤
p0018,튀김새우롤,6000,주재료-새우 밥  조리법-롤
p0019,돈까스롤,6000,주재료-돼지고기 빵가루  조리법-튀김
p0020,베이컨롤,6000,주재료-베이컨  조리법-구이
p0021,라면,3000,주재료-야채 면
p0022,떡라면,3500,주재료-떡 라면
p0023,김치라면,3500,주재료-김치 돼지고기 면  조리법-라면
p0024,만두라면,3500,주재료-두부 돼지고기 야채 라면 밀가루
p0025,치즈라면,3500,주재료-치즈 라면
p0026,떡만두라면,4000,
p0027,짬뽕라면,4000,주재료-야채 해산물 라면 밀가루  소스-고춧가루
p0028,쫄면,5000,주재료-야채 면 밀가루 쫄면  조리법-비빔  소스-고추장
p0029,물냉면,5000,주재료-야채 면 육수  조리법-국수
p0030,비빔냉면,5000,주재료-야채 면  조리법-비빔  소스-고추장
p0031,떡볶이,4000,주재료-야채 어묵 파 떡  조리법-볶음  소스-고추장
p0032,라볶이,4000,주재료-어묵 떡 라면  소스-고추장
p0033,치즈떡볶이,5000,주재료-치즈 어묵 떡  소스-고추장
p0034,치즈라볶이,5000,주재료-치즈 어묵 떡 라면  조리법-볶음  소스-고추장
p0035,떡국,5000,주재료-계란 소고기 떡 가래떡
p0036,만두국,5000,주재료-두부 돼지고기 야채 밀가루 육수
p0037,떡만두국,5000,주재료-두부 돼지고기 야채 밀가루 육수
p0038,된장찌개,5500,주재료-두부 버섯 야채  조리법-찌개  소스-된장
p0039,순두부찌개,5500,주재료-순두부 야채 고기 해물  조리법-찌개  소스-고춧가루
p0040,김치찌개,5500,주재료-김치 두부 야채 고기  조리법-찌개  소스-고춧가루
p0041,참치찌개,5500,주재료-김치 야채 해산물 참치  조리법-찌개  소스-고춧가루
p0042,꽁치김치조림,6000,주재료-김치
p0043,부대찌개,6000,주재료-돼지고기 야채 소시지 햄  조리법-찌개  소스-고춧가루
p0044,뚝배기불고기,6000,주재료-불고기 버섯 소고기 야채 고기 당면  소스-간장 설탕
p0045,갈비탕,6000,주재료-갈비 소고기 야채 육수  조리법-탕
p0046,육개장,6000,주재료-소고기 야채  소스-고춧가루
p0047,콜라,1000,주재료-콜라
p0048,환타,1000,주재료-음료
p0049,사이다,1000,주재료-음료
p0050,공기밥,1000,주재료-밥 공기밥
